X	X.1	K0.1radni.4zima.DF
10	45	1,287723291
11	0	1,271281016
11	15	1,260194291
11	30	1,63040905
11	45	1,586140288
12	0	1,601526288
12	15	1,65515675
12	30	2,030138036
12	45	2,368782739
13	0	2,431427437
13	15	2,799860848
13	30	3,089584101
13	45	2,859096352
14	0	2,68650859
14	15	1,901553679
14	30	1,511923366
14	45	1,442695094
15	0	1,188235886
15	15	0,965094069
15	30	0,908060362
15	45	0,996077879
16	0	1,155283113
16	15	1,818040106
16	30	4,332892663
16	45	21,75521255
17	0	53,76494123
17	15	67,93905764
17	30	75,84068394
17	45	78,1875927
18	0	86,75110734
18	15	89,03999751
18	30	94,43863819
18	45	94,49393061
19	0	94,61353484
19	15	94,73811186
19	30	94,6731428
19	45	94,57036004
20	0	94,61716577
20	15	94,55772678
20	30	94,27545814
20	45	94,48047074
21	0	95,17040094
21	15	97,2631329
21	30	98,71882815
21	45	99,1403391
22	0	99,1115666
22	15	99,77894812
22	30	99,46872845
22	45	98,19282648
23	0	97,74353625
23	15	98,0164293
23	30	98,40839112
23	45	98,60316859
X	X.1	K0.1radni.2ljeto.DF
0	0	50,3935536
0	15	47,39378288
0	30	44,43845117
0	45	42,11047554
1	0	40,51032593
1	15	39,13069187
1	30	38,11766903
1	45	37,25092294
2	0	37,07058929
2	15	36,75242263
2	30	36,27420467
2	45	36,08213144
3	0	35,95477959
3	15	35,91449804
3	30	36,20820483
3	45	36,94773335
4	0	38,26446288
4	15	39,60674846
4	30	41,16211939
4	45	43,47274695
5	0	45,38265534
5	15	47,51171391
5	30	50,11464827
5	45	52,94505077
6	0	54,42431563
6	15	55,00310925
6	30	56,93706006
6	45	57,42749276
7	0	57,27951463
7	15	57,04376984
7	30	57,58961915
7	45	58,63044447
8	0	59,15010032
8	15	60,19280203
8	30	60,65514058
8	45	61,69020488
9	0	62,63867466
9	15	63,75493219
9	30	64,16546168
9	45	64,60566701
10	0	65,31481058
10	15	65,57593035
10	30	66,8115499
10	45	67,35949495
11	0	68,10581018
11	15	69,09434155
11	30	69,21916928
11	45	68,75256207
12	0	68,30268679
12	15	67,95332155
12	30	68,43533785
12	45	68,64592338
13	0	68,04621971
13	15	67,78470741
13	30	67,76469059
13	45	68,3563698
14	0	68,50715279
14	15	69,31531709
14	30	69,93041771
14	45	70,16089792
15	0	70,32805859
15	15	70,55686536
15	30	70,99590403
15	45	70,93696737
16	0	70,46301807
16	15	69,43234942
16	30	69,8869655
16	45	69,90348354
17	0	70,52282304
17	15	70,59222444
17	30	70,93992839
17	45	71,73849261
18	0	73,44921902
18	15	74,76815306
18	30	75,72284627
18	45	77,10518675
19	0	79,09950885
19	15	81,59390261
19	30	84,57692074
19	45	86,79073027
20	0	90,45495581
20	15	93,12213636
20	30	95,32894589
20	45	95,78492064
21	0	95,66310498
21	15	98,25626244
21	30	100
21	45	98,84449451
22	0	96,42503955
22	15	92,39462024
22	30	86,76909227
22	45	79,91534093
23	0	72,96955913
23	15	66,78592822
23	30	60,80704709
23	45	55,75642144
X	X.1	P1.1radni.2ljeto.DF
0	0	37,86159195
0	15	37,01581848
0	30	36,34164227
0	45	35,25535958
1	0	34,96311024
1	15	34,20446938
1	30	33,74327121
1	45	33,60150786
2	0	33,89354626
2	15	34,42516029
2	30	34,15201637
2	45	33,46347106
3	0	33,02595643
3	15	32,4233699
3	30	32,37446767
3	45	31,99857789
4	0	31,8403263
4	15	31,33957157
4	30	31,13719313
4	45	30,93549436
5	0	30,8897347
5	15	33,13145814
5	30	37,03467195
5	45	37,72133446
6	0	37,64934634
6	15	42,49195842
6	30	45,60501777
6	45	49,87017998
7	0	54,14935193
7	15	60,97162553
7	30	65,69162851
7	45	70,23650298
8	0	80,82540086
8	15	92,34508375
8	30	91,32051576
8	45	91,97360412
9	0	93,33978071
9	15	96,88186839
9	30	95,75760336
9	45	94,79376765
10	0	98,77235434
10	15	96,7338492
10	30	95,17239766
10	45	93,95654494
11	0	96,18310826
11	15	100
11	30	92,24752147
11	45	92,19441808
12	0	89,67301558
12	15	89,20406352
12	30	88,93339031
12	45	89,2420068
13	0	90,46163684
13	15	90,90249522
13	30	90,18038358
13	45	90,04072764
14	0	89,90755412
14	15	90,09696775
14	30	88,586645
14	45	87,72850046
15	0	87,30624165
15	15	87,23738634
15	30	86,24640616
15	45	85,55897803
16	0	85,71391713
16	15	82,85675759
16	30	80,28456615
16	45	79,79592077
17	0	79,25162123
17	15	79,25118959
17	30	79,61049737
17	45	79,352996
18	0	78,37292595
18	15	78,11416482
18	30	77,62167179
18	45	77,33115292
19	0	76,66306459
19	15	74,99845508
19	30	74,64712385
19	45	73,02931501
20	0	70,26192089
20	15	61,02790861
20	30	57,56169771
20	45	56,63814316
21	0	55,06075221
21	15	53,69176312
21	30	52,43252379
21	45	50,80842981
22	0	50,03490617
22	15	48,87974668
22	30	47,41122071
22	45	45,32897543
23	0	43,69053969
23	15	42,14405881
23	30	41,03899296
23	45	40,09010644
X	X.1	P2.1radni.2ljeto.DF
0	0	34,03457449
0	15	33,18775793
0	30	33,15152937
0	45	32,67355534
1	0	32,03244891
1	15	31,58473209
1	30	30,91626628
1	45	30,73117723
2	0	30,6951168
2	15	31,06837786
2	30	30,95768411
2	45	30,52575991
3	0	29,96907973
3	15	29,89937687
3	30	30,0112324
3	45	29,59774173
4	0	29,72366704
4	15	28,708219
4	30	28,23597829
4	45	28,02957299
5	0	29,49350859
5	15	32,39107347
5	30	34,57783473
5	45	36,22410512
